dataset,spec,algorithm,seed,MAE,RMSE,MMRE,MdMRE,PRED25,SA
COCOMO81,semilog,RF,51,437.48094092945,865.2208710106976,0.8433179248202836,0.6046427361860365,20.95238095238095,69.62668429435078
COCOMO81,semilog,KNN,42,567.6064793261012,1143.4071840906897,1.862472391155362,0.8278278277775692,9.285714285714283,56.18481452184128
COCOMO81,semilog,KNN,43,582.2258081241705,1180.875785235415,2.30956138476053,1.1196557999071026,14.523809523809522,56.33216514021059
COCOMO81,semilog,KNN,44,587.1415636513316,1107.6047831941974,1.9499057727517761,0.8985600831179097,10.95238095238095,57.41209418567337
COCOMO81,semilog,KNN,45,579.8518089616634,1067.2464639506227,2.4695095991463303,1.1070314116247932,14.523809523809522,59.77462066656774
COCOMO81,semilog,KNN,46,594.7188764552994,1182.1099058328375,2.018748866563698,0.9561577145375783,14.047619047619046,57.25108288554246
COCOMO81,semilog,KNN,47,601.7850253399822,1190.8766121762521,1.8664175606657754,1.0549449893411897,15.714285714285712,55.77004528204852
COCOMO81,semilog,KNN,48,580.4451049489284,1117.0304244420113,1.9731205937932494,1.117702204369544,11.19047619047619,59.58844144652686
COCOMO81,semilog,KNN,49,566.9674345453984,1010.8199925990341,1.9363941659834345,0.8302783563105575,9.523809523809522,61.00229262686453
COCOMO81,semilog,KNN,50,546.5557729427368,983.0566475286676,1.989346721600856,0.8120569383799475,16.19047619047619,63.683972099539325
COCOMO81,semilog,KNN,51,587.3592698948502,1204.9461039910354,1.9975275851806351,0.8908436034762903,11.19047619047619,55.894163007829604
COCOMO81,semilog,SVR,42,582.1127245676031,1207.4971046708145,1.963353977663239,0.7990595822782677,9.523809523809522,56.79812602695889
COCOMO81,semilog,SVR,43,591.1770898128334,1229.627731647383,2.6898830487798575,1.2189300876747917,12.619047619047617,55.7111457795569
COCOMO81,semilog,SVR,44,585.5288471907236,1127.4846797703021,2.141972844075013,0.8416629526463462,6.666666666666666,59.21949459368094
COCOMO81,semilog,SVR,45,593.4911671885469,1085.445065723765,2.6632894336641164,1.2461728162157328,4.523809523809524,60.51836852428729
COCOMO81,semilog,SVR,46,612.4676668250721,1240.0832040567707,2.1774430544633625,0.9514529872044676,7.857142857142856,56.93858214533178
COCOMO81,semilog,SVR,47,610.7758323145346,1241.557233096048,2.179281360008689,0.9467716097094308,9.523809523809522,55.92511494132693
COCOMO81,semilog,SVR,48,592.7641587508131,1178.2773569351652,2.0588230172429745,1.324990783324754,7.857142857142856,59.41624489056727
COCOMO81,semilog,SVR,49,576.9852086063794,1063.1420816811606,2.060389181386579,1.05906428837088,6.428571428571428,60.84558292651603
COCOMO81,semilog,SVR,50,577.1028588032692,1086.9103334822626,2.0843057174743223,0.8461506409421229,10.952380952380953,61.71572045038797
COCOMO81,semilog,SVR,51,598.4853273053583,1249.4273346421073,2.033714816264656,0.9095215244534435,6.19047619047619,56.64569670962767
COCOMO81,loglog,LR,42,268.95029847771883,541.8414291297424,0.4502098025258137,0.3110120862844837,44.52380952380952,78.20469567894693
COCOMO81,loglog,LR,43,284.833814723743,573.1897577849885,0.5022728889448773,0.34095712529711253,38.09523809523809,74.89733953654891
COCOMO81,loglog,LR,44,282.88671533982017,549.7404513656738,0.5152122394298542,0.34971798925206,34.52380952380952,76.77150683998897
COCOMO81,loglog,LR,45,278.7863190485888,494.8348984968876,0.46901013111184486,0.3100015117943232,41.42857142857143,81.09682565323337
COCOMO81,loglog,LR,46,289.04719723361063,590.1101267970275,0.45126243903643015,0.3425173212698575,39.761904761904766,76.82972440694735
COCOMO81,loglog,LR,47,250.3675331083591,489.81603483283106,0.4604257173954749,0.3387536441816838,44.76190476190476,79.67955848985284
COCOMO81,loglog,LR,48,288.48973716784474,581.9975141508705,0.47975987360258954,0.3637803422852085,33.80952380952381,77.4202186972722
COCOMO81,loglog,LR,49,248.7117694937299,437.88104527385366,0.4455004411770028,0.3060424540604358,42.14285714285713,81.93969154377321
COCOMO81,loglog,LR,50,298.4042778535186,566.1449929979808,0.4599219648220093,0.3034396090728527,41.19047619047619,79.1756266725062
COCOMO81,loglog,LR,51,329.8899607190159,667.715373238461,0.5160462349644714,0.397019069128324,38.57142857142857,74.26538589531857
COCOMO81,loglog,DT,42,792.1347619047622,1531.8518865419924,1.4306200793836956,0.7789463353407926,12.857142857142856,28.99294950777291
COCOMO81,loglog,DT,43,570.9514285714288,1172.5177039364446,1.1114788727760054,0.7200321162047247,17.38095238095238,50.59802729139343
COCOMO81,loglog,DT,44,583.0423809523812,1080.243129441509,1.1152496394573006,0.6661957256992824,14.285714285714283,53.33809786038226
COCOMO81,loglog,DT,45,492.16142857142876,861.6749518571866,1.6007641398588348,0.9061640901494583,7.857142857142856,62.5126378736781
COCOMO81,loglog,DT,46,508.4442857142858,960.9975608623815,1.6352027518669061,0.8382164383011105,19.285714285714285,55.551923853137126
COCOMO81,loglog,DT,47,434.2361904761905,817.8831605800262,1.0240341084502005,0.719326964390844,20.714285714285715,64.45734254243003
COCOMO81,loglog,DT,48,731.4126190476193,1396.1460532543852,1.4519123116982784,0.7243372001348143,9.999999999999996,43.63691151665998
COCOMO81,loglog,DT,49,552.3719047619048,1007.4520219522121,1.3889102929013801,0.85328081341715,17.142857142857142,61.271600978901596
COCOMO81,loglog,DT,50,589.7480952380953,1040.0782808281788,1.2010946585924114,0.7758553718047183,17.142857142857142,56.832461019324626
COCOMO81,loglog,DT,51,395.29047619047606,724.3291696098102,1.2941507459597514,0.8007262042627092,12.38095238095238,67.1276534190592
