dataset,spec,algorithm,fold,MAE,RMSE,MMRE,MdMRE,PRED25,SA
COCOMO81,loglog,SVR,7,403.0573405546905,643.5196104468015,1.8227872976715442,0.7835887334367964,0.0,57.7263794658345
COCOMO81,loglog,SVR,8,84.73652006730948,142.78485139765155,0.681875384349573,0.14076570014019918,66.66666666666666,88.93499500086679
COCOMO81,loglog,SVR,9,1371.8936581634298,2579.321183987562,1.0843095857745564,0.6479924565513926,16.666666666666664,24.76962397419058
COCOMO81,loglog,SVR,10,180.2785793302772,357.38335510878244,2.1172602731792107,1.185618932295401,0.0,77.13945661782822
NASA93,raw,LR,1,307.115826024979,387.2505914519176,2.726922339868082,0.466625075392623,10.0,54.61926397017716
NASA93,raw,LR,2,240.43576443986012,373.0477523673082,2.4185251698863763,0.7437838367208454,10.0,62.28365932258503
NASA93,raw,LR,3,348.7483240644277,584.4326093573591,1.242504277660481,0.572931041279072,40.0,42.33734476831338
NASA93,raw,LR,4,245.30666003908624,390.2316593224385,2.4445495809615325,1.2181394078972838,33.33333333333333,69.06019929913592
NASA93,raw,LR,5,363.87668704988874,525.952936504736,1.4914131594202222,0.8199181276410504,22.22222222222222,55.163183059538824
NASA93,raw,LR,6,901.2137482949418,1864.593704724188,3.540835990830858,1.6954056033824998,11.11111111111111,36.144059919095774
NASA93,raw,LR,7,307.8552063754649,371.246675285972,7.304667684118057,0.5165239946904925,44.44444444444444,61.512238219502095
NASA93,raw,LR,8,790.2168570866426,1004.6740095183847,3.079972334270298,1.908708640614788,22.22222222222222,45.64853686831724
NASA93,raw,LR,9,174.6482201378869,268.29688171412863,1.3981514386330194,0.2503435357273092,44.44444444444444,72.01112940003682
NASA93,raw,LR,10,700.815225676422,998.521357896056,1.6082414898454127,0.8778477366229457,11.11111111111111,9.64272273476775
NASA93,raw,DT,1,275.84000000000003,483.3263659267928,0.836691950149914,0.26535087719298245,50.0,59.2407125725647
NASA93,raw,DT,2,166.82,231.88604960195426,0.7044713012129267,0.5329773465417458,20.0,73.83151393277794
NASA93,raw,DT,3,376.98,668.5645847635066,1.5011554414197708,0.5068235294117647,0.0,37.669470304822426
NASA93,raw,DT,4,421.20000000000005,806.350891361819,0.6149756666799273,0.6754385964912281,33.33333333333333,46.875294567511894
NASA93,raw,DT,5,333.14444444444445,547.1311329714904,0.41281422362583226,0.42857142857142855,33.33333333333333,58.950004213270034
NASA93,raw,DT,6,655.7555555555556,1413.8888106526938,2.548487988794775,0.6466666666666666,33.33333333333333,53.53611999095749
NASA93,raw,DT,7,712.911111111111,1005.015500156866,6.495912947451548,0.8195121951219512,11.11111111111111,10.872538625673656
NASA93,raw,DT,8,1217.4333333333334,1728.408543204477,2.5903967630458316,0.5757742568570198,33.33333333333333,16.264399653659556
NASA93,raw,DT,9,102.73333333333333,164.31672667950352,0.22960082384417418,0.17600000000000005,66.66666666666666,83.53610491593105
NASA93,raw,DT,10,119.0222222222222,158.90553448161862,0.31874040002653364,0.2645161290322581,44.44444444444444,84.65426614600557
NASA93,raw,RF,1,384.36055999999996,779.7505929932826,1.0046749920176394,0.14932449999999997,70.0,43.20525470994059
NASA93,raw,RF,2,113.4606,155.24375741845466,0.6044344660005545,0.4312100221483943,40.0,82.20182154250895
NASA93,raw,RF,3,414.78213999999997,905.7728358426411,1.6972022152378075,0.3431103667481667,30.0,31.419198646349155
NASA93,raw,RF,4,219.5506666666667,469.95902499118654,0.47648378695489463,0.3840000000000001,44.44444444444444,72.30872627214376
NASA93,raw,RF,5,246.7165555555556,447.45694724259977,0.5631224316679498,0.3241350000000002,44.44444444444444,69.59963242682561
