dataset,algorithm,spec,metric,seed42,mean10,sd10,min10,max10
Desharnais,DT,raw,MAE,2429.530357142857,2596.8321428571426,300.4798882663379,2313.6053571428574,3182.2
Desharnais,DT,raw,RMSE,3656.29200933214,3814.306294376233,456.5895898884264,3135.0326551942276,4810.745300234317
Desharnais,DT,raw,MMRE,0.6174928262184252,0.636163336859409,0.10933873114614083,0.4684238497626335,0.8784174115766353
Desharnais,DT,raw,MdMRE,0.35490732932143776,0.39856147735883946,0.0529458228214246,0.35490732932143776,0.535243987033559
Desharnais,DT,raw,PRED25,36.07142857142857,34.607142857142854,3.4119139002303456,29.999999999999993,38.92857142857142
Desharnais,DT,raw,SA,41.98717810800594,37.88728795827883,7.908732254702268,23.513336979894795,46.55414951287274
Desharnais,RF,raw,MAE,2175.091375,2144.7527839285713,69.88271098086035,2030.8266607142862,2254.07125
Desharnais,RF,raw,RMSE,3153.2761290936014,3020.5498518711347,128.97978642520948,2806.2847506394837,3242.390879029578
Desharnais,RF,raw,MMRE,0.6396188538460168,0.6293687413642813,0.014047110115700156,0.5995094415977094,0.6458896811898175
Desharnais,RF,raw,MdMRE,0.37341202341778457,0.3923919790015692,0.03451863351902018,0.35990967456290696,0.4717585906670023
Desharnais,RF,raw,PRED25,31.607142857142854,33.07142857142857,2.4365531767683537,27.14285714285714,35.89285714285714
Desharnais,RF,raw,SA,47.6779015465447,49.03692312755784,2.4331497345439788,45.455572330284305,52.762490416913046
Desharnais,KNN,raw,MAE,2173.921071428572,2103.052642857143,51.28402630423956,2032.6735714285714,2173.921071428572
Desharnais,KNN,raw,RMSE,3135.692195780123,2942.361118653126,115.65097577496145,2762.935660296188,3135.692195780123
Desharnais,KNN,raw,MMRE,0.6261298965595654,0.6078418364604368,0.030207353707104905,0.5727474654828434,0.668505798769948
Desharnais,KNN,raw,MdMRE,0.35884354599113055,0.39281897109059344,0.04131602854608408,0.3377768921151585,0.46836212247585574
Desharnais,KNN,raw,PRED25,36.25,34.80357142857143,1.7383602211576843,31.428571428571434,36.607142857142854
Desharnais,KNN,raw,SA,48.495247878778656,50.284203311374334,1.5727881800641548,47.904713801599925,52.549384340386815
Desharnais,SVR,raw,MAE,2790.2641434153975,2770.047862516533,34.393073447991334,2710.048611876502,2802.1925446017462
Desharnais,SVR,raw,RMSE,3876.8983433392546,3896.690952552565,77.71683488711234,3763.4571769839577,3983.722605628166
Desharnais,SVR,raw,MMRE,0.8386916796826943,0.8426356426206094,0.013013290274647399,0.8201757228702167,0.8683809090723816
Desharnais,SVR,raw,MdMRE,0.46153390789463683,0.49174089927064246,0.04389135949321902,0.46153390789463683,0.6019097689964513
Desharnais,SVR,raw,PRED25,27.857142857142854,27.75,1.4090934027547921,25.535714285714285,30.892857142857146
Desharnais,SVR,raw,SA,36.93269664018645,36.3082441145334,1.0371818284839491,35.06306741960194,38.033185404082815
Desharnais,LR,semilog,MAE,1917.3252455041318,2001.8753498023154,73.77180522144529,1890.297796135724,2106.4552857508875
Desharnais,LR,semilog,RMSE,2846.3224848265686,2946.358713940663,191.89902665419723,2721.804769478182,3287.191751543677
Desharnais,LR,semilog,MMRE,0.4039549693194721,0.40741920035022333,0.011370470788325322,0.3859017987668142,0.4207779059445163
Desharnais,LR,semilog,MdMRE,0.33113783505757854,0.32839386080193234,0.019029081175888068,0.30241721637872876,0.3616785978581162
Desharnais,LR,semilog,PRED25,40.53571428571429,39.80357142857142,1.7925464538236215,37.5,43.03571428571428
Desharnais,LR,semilog,SA,54.00826737637701,53.72950999964037,1.9036406428146007,50.78016743779662,56.790324929260805
